iter	Logloss
0	0.4846665372
1	0.348887808
2	0.2584359213
3	0.1936018443
4	0.1510447395
5	0.1248900018
6	0.1067680366
7	0.09424242208
8	0.08543280588
9	0.07899147607
10	0.07426241995
11	0.07026955511
12	0.06773122426
13	0.06562814256
14	0.06376319495
15	0.06254412818
16	0.06150239035
17	0.06086606906
18	0.06004956733
19	0.05960492224
20	0.05929673014
21	0.05902470357
22	0.05866879811
23	0.05837070261
24	0.05818568121
25	0.05782481951
26	0.05771663187
27	0.05762643013
28	0.05739622265
29	0.05717792825
30	0.05709737264
31	0.05697183806
32	0.05681982383
33	0.05667708132
34	0.05656304163
35	0.05652906255
36	0.05643828552
37	0.05635757302
38	0.05627306416
39	0.05620609284
40	0.0561479512
41	0.0560663168
42	0.05600385496
43	0.05593164
44	0.05586525693
45	0.05580028254
46	0.05575756054
47	0.05570188709
48	0.05565147584
49	0.05556715624
50	0.05551036687
51	0.05546417617
52	0.05542003411
53	0.05533529552
54	0.05530335273
55	0.05521006529
56	0.05513829287
57	0.05507677297
58	0.05500868785
59	0.05496122936
60	0.05490363432
61	0.05485091896
62	0.0548079115
63	0.05472694245
64	0.05468244034
65	0.05462304485
66	0.05456796415
67	0.05450793281
68	0.05446120541
69	0.05441319657
70	0.05436910118
71	0.05433861441
72	0.05427443118
73	0.05424086758
74	0.0541909638
75	0.05413970282
76	0.05408692586
77	0.05405703123
78	0.05399452667
79	0.05394916937
80	0.05391092139
81	0.05387659615
82	0.05383805884
83	0.05380651777
84	0.05373396917
85	0.05368840993
86	0.05364721624
87	0.05363073381
88	0.05360929804
89	0.05355891195
90	0.05353291452
91	0.05346343112
92	0.05344284466
93	0.05340989163
94	0.05337675044
95	0.05333880535
96	0.05330246006
97	0.0532610229
98	0.05321995611
99	0.05319340145
100	0.05315924306
101	0.05312434954
102	0.05310077689
103	0.05303909834
104	0.05300097473
105	0.05297402076
106	0.05293188464
107	0.05288743956
108	0.05285736173
109	0.05282373093
110	0.05280607003
111	0.0527727556
112	0.05272413904
113	0.05270622767
114	0.05266986524
115	0.05264888824
116	0.05262531782
117	0.05259960112
118	0.05256572247
119	0.05254432531
120	0.0525237818
121	0.05249941839
122	0.05247618496
123	0.05246095963
124	0.05243373762
125	0.05240354735
126	0.05237754747
127	0.05234725754
128	0.05232068096
129	0.05229469766
130	0.05225544549
131	0.05222692134
132	0.05221173721
133	0.05218213197
134	0.0521526654
135	0.05205483234
136	0.0520056965
137	0.05198877948
138	0.05197357886
139	0.05194338719
140	0.05185801794
141	0.05183943664
142	0.05178128843
143	0.0517349641
144	0.05166324455
145	0.05160621884
146	0.05156124862
147	0.05149408832
148	0.05145335405
149	0.05140925038
150	0.05137170413
151	0.05135309409
152	0.0513336578
153	0.05122611656
154	0.05119032908
155	0.05117710139
156	0.05114279892
157	0.05105860273
158	0.0509396187
159	0.0509054853
160	0.05087356053
161	0.05083720234
162	0.05081355497
163	0.05079377473
164	0.05078232025
165	0.05075932433
166	0.05075103235
167	0.0507280264
168	0.05070204067
169	0.05067571852
170	0.05065873206
171	0.05063734064
